2026-02-23 16:39:16 [INFO]   Rotas de Health Check registradas
2026-02-23 16:39:16 [INFO]   Rotas de App Info registradas
2026-02-23 16:39:16 [INFO]   Rotas de Notificações registradas
2026-02-23 16:39:16 [INFO]   Rotas de Monitoramento de Filas registradas
2026-02-23 16:39:16 [INFO]   Rotas de Places Cache registradas
2026-02-23 16:39:16 [INFO]   🚀 [RadiusExpansionManager] Monitoramento iniciado (verifica a cada 10s)
2026-02-23 16:39:16 [INFO]   RadiusExpansionManager iniciado
2026-02-23 16:39:16 [INFO]   🚀 [QueueWorker] Worker iniciado
2026-02-23 16:39:16 [INFO]   QueueWorker iniciado (processamento contínuo de filas)
2026-02-23 16:39:16 [INFO]   Rotas de monitoramento configuradas
2026-02-23 16:39:16 [INFO]   🚀 [DriverPoolMonitor] Monitor iniciado
2026-02-23 16:39:16 [INFO]   DriverPoolMonitor iniciado (monitoramento contínuo de motoristas livres)
2026-02-23 16:39:16 [INFO]   Serviço de Notificação de Demanda inicializado
2026-02-23 16:39:16 [INFO]   Dashboard WebSocket Service inicializado
2026-02-23 16:39:16 [INFO]   Job de limpeza periódica iniciado (a cada 1 minuto)
2026-02-23 16:39:16 [INFO]   Configurando EventBus e Listeners
2026-02-23 16:39:16 [INFO]   ✅ [setupListeners] Todos os listeners configurados
2026-02-23 16:39:16 [INFO]   EventBus e Listeners configurados
2026-02-23 16:39:16 [INFO]   🔵 Iniciando processo de inicialização do servidor
2026-02-23 16:39:16 [INFO]   Iniciando processo de inicialização do servidor
2026-02-23 16:39:16 [INFO]   Inicializando GraphQL
2026-02-23 16:39:16 [INFO]   Servidor Apollo GraphQL configurado
2026-02-23 16:39:16 [INFO]   GraphQL integrado com sucesso
2026-02-23 16:39:16 [INFO]   GraphQL inicializado, iniciando servidor HTTP
2026-02-23 16:39:16 [INFO]   Chamando server.listen()
2026-02-23 16:39:16 [INFO]   Ultra Worker rodando
2026-02-23 16:39:16 [INFO]   Servidor iniciado
2026-02-23 16:39:16 [INFO]   Support Chat Service conectado ao Socket.IO
2026-02-23 16:39:16 [INFO]   🚀 [ConnectionCleanupService] Serviço de limpeza iniciado
2026-02-23 16:39:16 [INFO]   Serviço de limpeza de conexões iniciado
2026-02-23 16:39:16 [INFO]   ✅ DailySubscriptionService inicializado
2026-02-23 16:39:16 [INFO]   Cobrança diária de assinaturas agendada
2026-02-23 16:39:16 [INFO]   Health endpoint disponível
2026-02-23 16:39:16 [INFO]   SERVIDOR ESCUTANDO NA PORTA
2026-02-23 16:39:16 [ERROR]   connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:16 [WARN]   Servidor continuará funcionando sem workers (fallback para processamento síncrono)
2026-02-23 16:39:16 [WARN]   ⚠️ [CircuitBreaker] Erro ao carregar estado: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:16 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:16 [INFO]   🔄 Redis: Tentativa 1, aguardando 200ms...
2026-02-23 16:39:16 [INFO]   🔄 Reconectando Redis Pool... (delay: 200ms)
2026-02-23 16:39:16 [WARN]   VPS KYC não está saudável, usando processamento local
2026-02-23 16:39:16 [INFO]   KYC Service inicializado
2026-02-23 16:39:16 [WARN]   VPS KYC não está saudável, usando processamento local
2026-02-23 16:39:16 [INFO]   KYC Service inicializado
2026-02-23 16:39:16 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:16 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:16 [ERROR]   Erro no Redis Pool
2026-02-23 16:39:16 [INFO]   🔄 Redis: Tentativa 2, aguardando 400ms...
2026-02-23 16:39:16 [WARN]   Redis não está acessível
2026-02-23 16:39:16 [WARN]   Redis Pool fechado, tentando reconectar
2026-02-23 16:39:16 [INFO]   🔄 Reconectando Redis Pool... (delay: 400ms)
2026-02-23 16:39:16 [INFO]   ✅ 2 KYC workers inicializados
2026-02-23 16:39:16 [INFO]   ✅ 2 KYC workers inicializados
2026-02-23 16:39:16 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:16 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:16 [ERROR]   Erro no Redis Pool
2026-02-23 16:39:16 [INFO]   🔄 Redis: Tentativa 3, aguardando 600ms...
2026-02-23 16:39:16 [WARN]   Redis não está acessível
2026-02-23 16:39:16 [WARN]   Redis Pool fechado, tentando reconectar
2026-02-23 16:39:16 [INFO]   🔄 Reconectando Redis Pool... (delay: 600ms)
2026-02-23 16:39:17 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:17 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:17 [ERROR]   Erro no Redis Pool
2026-02-23 16:39:17 [INFO]   🔄 Redis: Tentativa 4, aguardando 800ms...
2026-02-23 16:39:17 [WARN]   Redis não está acessível
2026-02-23 16:39:17 [WARN]   Redis Pool fechado, tentando reconectar
2026-02-23 16:39:17 [INFO]   🔄 Reconectando Redis Pool... (delay: 800ms)
2026-02-23 16:39:17 [ERROR]   ❌ Erro ao inicializar Places Cache Service: Reached the max retries per request limit (which is 3). Refer to "maxRetriesPerRequest" option for details.
2026-02-23 16:39:17 [ERROR]   ❌ [RedisScan] Erro ao escanear chaves com padrão booking_search:*: Reached the max retries per request limit (which is 3). Refer to "maxRetriesPerRequest" option for details.
2026-02-23 16:39:17 [ERROR]   ❌ [QueueWorker] Erro ao buscar regiões ativas: Reached the max retries per request limit (which is 3). Refer to "maxRetriesPerRequest" option for details.
2026-02-23 16:39:17 [ERROR]   ❌ [DriverPoolMonitor] Erro ao buscar motoristas disponíveis: Reached the max retries per request limit (which is 3). Refer to "maxRetriesPerRequest" option for details.
2026-02-23 16:39:17 [ERROR]   ❌ [RedisScan] Erro ao escanear chaves com padrão connection:*: Reached the max retries per request limit (which is 3). Refer to "maxRetriesPerRequest" option for details.
2026-02-23 16:39:17 [ERROR]   ❌ [RadiusExpansionManager] Erro ao buscar corridas em SEARCHING: Reached the max retries per request limit (which is 3). Refer to "maxRetriesPerRequest" option for details.
2026-02-23 16:39:17 [ERROR]   ❌ [ConnectionCleanupService] Erro ao limpar conexões órfãs: Reached the max retries per request limit (which is 3). Refer to "maxRetriesPerRequest" option for details.
2026-02-23 16:39:17 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:18 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:18 [ERROR]   Erro no Redis Pool
2026-02-23 16:39:18 [INFO]   🔄 Redis: Tentativa 5, aguardando 1000ms...
2026-02-23 16:39:18 [WARN]   Redis não está acessível
2026-02-23 16:39:18 [WARN]   Redis Pool fechado, tentando reconectar
2026-02-23 16:39:18 [INFO]   🔄 Reconectando Redis Pool... (delay: 1000ms)
2026-02-23 16:39:18 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:19 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:19 [ERROR]   Erro no Redis Pool
2026-02-23 16:39:19 [INFO]   🔄 Redis: Tentativa 6, aguardando 1200ms...
2026-02-23 16:39:19 [WARN]   Redis não está acessível
2026-02-23 16:39:19 [WARN]   Redis Pool fechado, tentando reconectar
2026-02-23 16:39:19 [INFO]   🔄 Reconectando Redis Pool... (delay: 1200ms)
2026-02-23 16:39:19 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:20 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:20 [ERROR]   Erro no Redis Pool
2026-02-23 16:39:20 [INFO]   🔄 Redis: Tentativa 7, aguardando 1400ms...
2026-02-23 16:39:20 [WARN]   Redis não está acessível
2026-02-23 16:39:20 [WARN]   Redis Pool fechado, tentando reconectar
