1774228298,leaf-sideeffects-worker,45.88%,56.11MiB / 1GiB
1774228298,leaf-redis,5.41%,120.2MiB / 1.5GiB
1774228301,leaf-websocket,8.79%,195.7MiB / 3GiB
1774228301,leaf-sideeffects-worker,0.84%,28.66MiB / 1GiB
1774228301,leaf-redis,5.07%,120.2MiB / 1.5GiB
1774228304,leaf-websocket,16.40%,195.8MiB / 3GiB
1774228304,leaf-sideeffects-worker,0.79%,28.76MiB / 1GiB
1774228304,leaf-redis,4.93%,120.2MiB / 1.5GiB
1774228307,leaf-websocket,10.02%,195.8MiB / 3GiB
1774228307,leaf-sideeffects-worker,0.86%,28.87MiB / 1GiB
1774228307,leaf-redis,5.24%,120.2MiB / 1.5GiB
1774228310,leaf-websocket,7.97%,195.9MiB / 3GiB
1774228310,leaf-sideeffects-worker,0.85%,28.97MiB / 1GiB
1774228310,leaf-redis,5.31%,120.2MiB / 1.5GiB
1774228313,leaf-websocket,8.28%,195.8MiB / 3GiB
1774228313,leaf-sideeffects-worker,0.71%,28.32MiB / 1GiB
1774228313,leaf-redis,38.52%,122.9MiB / 1.5GiB
1774228316,leaf-websocket,9.27%,195.9MiB / 3GiB
1774228316,leaf-sideeffects-worker,0.82%,28.43MiB / 1GiB
1774228316,leaf-redis,5.89%,120.2MiB / 1.5GiB
1774228319,leaf-websocket,13.34%,194.9MiB / 3GiB
1774228319,leaf-sideeffects-worker,0.86%,28.47MiB / 1GiB
1774228319,leaf-redis,5.91%,120.2MiB / 1.5GiB
1774228322,leaf-websocket,8.23%,194.9MiB / 3GiB
1774228322,leaf-sideeffects-worker,0.88%,28.58MiB / 1GiB
1774228322,leaf-redis,8.90%,120.2MiB / 1.5GiB
1774228325,leaf-websocket,7.97%,195MiB / 3GiB
1774228325,leaf-sideeffects-worker,0.79%,28.65MiB / 1GiB
1774228325,leaf-redis,4.42%,120.2MiB / 1.5GiB
1774228328,leaf-websocket,10.54%,195MiB / 3GiB
1774228328,leaf-sideeffects-worker,21.92%,47.67MiB / 1GiB
1774228328,leaf-redis,4.63%,120.2MiB / 1.5GiB
1774228331,leaf-websocket,8.72%,195MiB / 3GiB
1774228331,leaf-sideeffects-worker,0.75%,28.89MiB / 1GiB
1774228331,leaf-redis,4.97%,120.1MiB / 1.5GiB
